Cell,Cycle,IR_mean,IR_variance,IR_max,QC_mean,QC_variance,QC_max,QD_mean,QD_variance,QD_max,chargetime_mean,chargetime_variance,chargetime_max,Tmin_mean,Tmin_variance,Tmin_max,Tmax_mean,Tmax_variance,Tmax_max,Tavg_mean,Tavg_variance,Tavg_max,I_t_avg,Qc_t_avg,Qd_t_avg,Qdlin_t_avg,T_t_avg,Tdlin_t_avg,V_t_avg,dQdV_t_avg
b1c0,1851,0.016642759,6.20E-08,0.018950272,1.081088663,0.002437411,1.5467919,1.081256633,0.002355183,1.5390544,13.3843244,0.00181893,13.46115833,29.31954845,0.035107461,30.073803,35.35307925,0.021946212,35.994705,31.576035,0.039544774,32.28574128,-0.112186372,0.843721463,0.282688387,0.747283849,31.58458281,33.18947147,3.121796962,-0.741583714
b1c1,2159,0.016736437,3.15E-06,0.017008573,1.08138536,1.75E-06,1.0928036,1.08153402,3.42E-07,1.0845895,13.37203786,0.001667257,13.42640667,29.52704742,0.041643493,30.28406,34.13187856,0.03861361,34.712265,31.29582817,0.02572497,31.98117698,-0.12570243,0.841015903,0.280563101,0.74953642,31.32898631,32.48813926,3.118624266,-0.744433657
b1c2,2236,0.016588203,3.09E-06,0.016878299,1.085398334,2.08E-06,1.0978745,1.085623934,2.12E-07,1.0880535,13.37940484,0.00178373,13.42630667,29.60194873,0.047709051,30.321005,34.51621849,0.043313805,35.127342,31.44211653,0.027334057,32.12018402,-0.129884688,0.844193933,0.281262889,0.754077159,31.47821602,32.77696637,3.119815459,-0.744117755
b1c3,1433,0.016132686,2.93E-06,0.016408285,1.084764234,6.10E-07,1.0858829,1.085162438,5.70E-07,1.086253,12.05352555,0.001789132,12.09300167,29.35390849,0.065474339,30.475714,30.6343846,0.066720822,31.691414,29.90832957,0.047334855,30.92172582,-0.101427674,0.850139897,0.286277314,0.954214306,29.94090626,30.17971356,3.117844769,-0.741641134
b1c4,1708,0.01648274,3.06E-06,0.016741628,1.082914244,6.26E-07,1.0842149,1.083062524,5.93E-07,1.0843166,12.05357925,0.001788155,12.092935,29.46489059,0.099549952,30.841711,34.36929808,0.097213642,35.651741,31.42818206,0.079320821,32.74071235,-0.093584456,0.848351504,0.285031893,0.946799399,31.44863767,32.53639119,3.11628055,-0.740226849
b1c5,1073,0.016265897,9.09E-09,0.016835118,1.080328224,5.61E-07,1.081865,1.080494974,6.74E-07,1.0820704,15.43765108,1828.055194,418.81941,29.23031229,0.170546131,31.058582,33.02052492,0.149589156,34.654667,30.91369989,0.147647292,32.68150425,-0.067290362,0.853478037,0.288393597,0.741045496,30.92106763,31.55057702,3.113739968,-0.737543885
b1c6,635,0.01647575,3.05E-06,0.016703192,1.080589988,1.17E-06,1.0844336,1.081075214,8.63E-07,1.082139,10.04340533,0.001752978,10.09305,29.72024864,0.021393764,30.358706,35.77836934,0.057530387,36.496124,32.24983543,0.021544069,32.95084463,-0.037744232,0.860782197,0.291958573,0.74361301,32.27400965,33.49250912,3.116840747,-0.737283052
b1c7,869,0.016035308,2.89E-06,0.01628454,1.096728269,1.21E-06,1.1028069,1.09697913,5.60E-07,1.0979686,10.04442993,0.001758806,10.09454333,29.56073869,0.019716605,30.249355,35.3187502,0.04686773,36.053928,31.97325628,0.020877395,32.67728035,-0.031311717,0.868319887,0.293466665,0.7595222,31.98983859,33.12091695,3.118380097,-0.749137221
b1c9,1053,0.016829175,4.23E-09,0.016948935,1.087670148,1.67E-07,1.0887136,1.087948235,1.58E-07,1.0889499,11.24382086,0.001720855,11.29656167,30.26745524,0.04665178,31.194479,35.99536445,0.055874644,36.799232,32.64506492,0.030747857,33.48871183,0.018222154,0.860043094,0.287562615,0.75491292,32.64195447,33.86620678,3.122973104,-0.740054769
b1c11,787,0.01599869,2.88E-06,0.01628324,1.059820393,6.33E-07,1.0607792,1.060405686,7.80E-07,1.063239,11.68509159,0.001677262,11.73601333,30.12485341,0.047979732,31.120598,36.22549696,0.056507692,37.128967,32.73733535,0.044079967,33.72736964,-0.003869894,0.847851449,0.281463939,0.733534475,32.75886473,33.87157046,3.12285563,-0.72757792
b1c14,879,0.016969577,2.86E-08,0.018374495,1.075600552,6.63E-07,1.0771068,1.07634108,7.70E-07,1.0778438,15.29182874,1838.183687,419.78954,30.06437466,0.079837655,31.358892,36.63633821,0.091138514,37.818813,33.06387883,0.081284058,34.34429741,0.013189941,0.857947562,0.286028761,0.741438662,33.07657382,34.20525516,3.118642017,-0.734246624
b1c15,718,0.016825542,2.98E-08,0.018155931,1.06725771,7.66E-07,1.0686306,1.06793832,8.89E-07,1.0693387,15.29100639,1838.952981,419.873355,29.94849309,0.121117885,31.53245,37.07733965,0.136281534,38.47617,33.14516569,0.115945579,34.67798627,0.008296753,0.855166552,0.285910006,0.738196722,33.14739585,34.30220197,3.120334487,-0.73007951
b1c16,861,0.016511939,3.07E-06,0.016816031,1.086062981,9.42E-07,1.0879163,1.08669142,7.75E-07,1.0885919,10.1252781,0.001579831,10.18095667,29.84068752,0.159320931,31.665558,35.87168252,0.188085122,37.566532,32.42021838,0.153859797,34.17480237,0.022382141,0.864718337,0.288735189,0.747658794,32.41626283,33.50642644,3.120109738,-0.743026876
b1c17,856,0.016675304,1.20E-08,0.016800802,1.077098777,3.14E-07,1.0790228,1.077348125,3.64E-07,1.0792258,10.13898405,0.001747661,10.18090333,29.52087634,0.221688291,31.60013,35.46543688,0.188046393,37.208405,32.10059557,0.185770321,34.0608574,0.01143931,0.860431516,0.289327481,0.740702392,32.08854758,33.19074513,3.116488457,-0.735015324
b1c18,690,0.017839359,3.97E-06,0.019886132,1.253373358,0.107887484,2.9658952,1.088064807,0.036242227,2.8840845,9.925854817,0.001692181,9.974201667,29.93801543,0.03121136,30.754562,35.43866604,0.047763574,36.084282,31.87557409,0.415979369,33.08456545,0.010520629,0.706403994,0.356318021,0.726854453,31.062436,33.2324795,2.5067458,-0.726148207
b1c19,787,0.016323282,1.87E-09,0.01640762,1.088363277,3.97E-07,1.089165,1.088461991,4.39E-07,1.0893054,9.930555989,0.001550959,9.958483333,30.13528502,0.028754096,30.935583,36.86821382,0.069080586,37.49086,33.05124443,0.023124031,33.74443401,0.024076849,0.86900684,0.29098169,0.74659294,33.04453397,34.17796005,3.119260143,-0.737043439
b1c20,533,0.015014934,2.54E-06,0.015390384,1.068761055,1.63E-05,1.0749991,1.06941182,1.67E-05,1.0757242,9.027973278,0.00168108,9.102013333,29.93218831,0.032145827,30.597918,34.90794627,0.035649726,35.504932,32.12676996,0.020981014,32.73997726,0.029791898,0.859629651,0.293006616,0.979784404,32.15264919,32.8341981,3.114448713,-0.726482529
b1c21,558,0.014916512,2.51E-06,0.015234377,1.081067885,6.84E-06,1.085077,1.082014156,6.78E-06,1.0859262,8.989637289,0.003994967,9.080738333,30.21641952,0.033284557,30.855131,36.90690685,0.122230521,37.595367,33.10898386,0.021086739,33.64441783,0.018110095,0.867107846,0.294931539,0.99160072,33.13618963,33.94640643,3.114688973,-0.736926933
b1c23,1013,0.016821211,7.94E-09,0.016928671,1.082418582,2.77E-07,1.0836555,1.082545715,2.65E-07,1.0837864,11.45936648,0.001595424,11.51405333,29.80872818,0.105230171,31.319263,34.8962308,0.107183385,36.165897,32.00034415,0.096172545,33.45195737,0.06019316,0.855036249,0.283320304,0.74681524,31.99162781,32.91827814,3.125836889,-0.73960336
b1c24,1016,0.016586062,4.64E-09,0.016691737,1.078060835,1.30E-07,1.0789105,1.078171207,2.41E-07,1.079075,12.12666066,0.001591868,12.18219667,30.49592586,0.034243514,31.356113,36.88879487,0.053115221,37.596226,33.38484422,0.024849837,34.18359224,0.054357883,0.855501442,0.279314857,0.748082819,33.37868334,34.41378292,3.130135458,-0.736303105
b1c25,853,0.016593987,4.31E-09,0.016697517,1.07843414,2.13E-07,1.0793456,1.079000068,2.17E-07,1.0799131,12.13652581,0.001753649,12.18035,30.57703304,0.034865381,31.422405,38.01471574,0.062683845,38.670872,33.85350599,0.026861344,34.68948736,0.048191837,0.856185241,0.282101894,0.752054138,33.84953491,35.28904205,3.128166375,-0.737655272
b1c26,869,0.016284702,4.29E-09,0.016389275,1.090620656,8.47E-07,1.0916398,1.090641105,6.66E-07,1.0915462,10.80199225,0.001793815,10.89749333,30.38156192,0.030512085,31.177139,36.44823171,0.074286629,37.077717,33.1633082,0.024254319,33.91036599,0.05927307,0.866810133,0.290005871,0.75585566,33.15669147,34.06073371,3.122707751,-0.747702397
b1c27,841,0.01609961,4.69E-09,0.016209068,1.082150637,4.24E-07,1.0829498,1.082123319,4.42E-07,1.0829995,10.80358174,0.001754927,10.84736167,30.72637673,0.031124685,31.524157,37.54564181,0.072561753,38.178074,33.90301765,0.024900662,34.58802775,0.061044282,0.861919833,0.287561133,0.750912887,33.89516572,34.90253218,3.123902453,-0.740549984
b1c28,859,0.016681185,6.46E-09,0.016806481,1.079919429,2.67E-07,1.0807645,1.080765535,2.21E-07,1.0815945,11.14009718,0.001748393,11.18017667,30.62929326,0.038417615,31.598858,37.52887231,0.102280075,38.303513,33.78331785,0.035973505,34.68290953,0.064439169,0.862213369,0.285275489,0.748150572,33.77467052,34.86314253,3.124882476,-0.738277572
b1c29,916,0.016546099,6.24E-09,0.016658336,1.082663564,2.70E-07,1.0836452,1.082886864,2.26E-07,1.0838029,11.15035659,0.00176377,11.18114833,30.43315855,0.040725774,31.411295,35.42792587,0.065537771,36.258759,32.71295908,0.041883854,33.66994254,0.065502502,0.863302121,0.283897341,0.749985815,32.70510132,33.47238612,3.125854414,-0.738579586
b1c30,708,0.0160106,4.81E-09,0.016130757,1.082648366,7.13E-07,1.0835379,1.082888005,5.93E-07,1.0838182,10.12421601,0.001554378,10.18098333,30.64989558,0.031122474,31.494495,36.83326198,0.075564244,37.483994,33.54892422,0.029505933,34.31385072,0.053862502,0.86685235,0.291559283,0.752486498,33.54053039,34.37702801,3.11986605,-0.736994441
b1c31,875,0.016864891,3.67E-09,0.016962912,1.096784195,9.89E-07,1.0981189,1.097077775,9.43E-07,1.0983334,10.12685628,0.001621598,10.18021333,30.00647898,0.048398745,31.013018,30.71870225,0.044770121,31.658901,30.37907774,0.039307529,31.32831642,0.063901174,0.872424825,0.290063187,0.760542059,30.3747204,30.39741116,3.125029578,-0.748771354
b1c32,730,0.016168406,6.17E-09,0.016290806,1.080343731,4.90E-07,1.0813081,1.080737662,3.99E-07,1.0816567,10.13102703,0.001708694,10.180015,30.37950887,0.057896063,31.522469,36.25388537,0.068467276,37.14436,33.089318,0.051012593,34.16577198,0.061193562,0.867846811,0.290209159,0.746468393,33.08090321,33.9129899,3.119945502,-0.735437844
b1c33,756,0.016481873,4.95E-09,0.016574621,1.095071582,9.42E-07,1.0963454,1.095538902,8.24E-07,1.0968262,10.13019762,0.001692608,10.18046833,30.36851876,0.082569043,31.707602,37.77036163,0.145244042,38.728722,33.68685615,0.07004121,34.90289118,0.070101042,0.875165406,0.291062423,0.754946668,33.67233436,34.80854053,3.122076207,-0.744976358
b1c34,741,0.016852178,6.31E-09,0.016954124,1.080181745,2.09E-07,1.0813539,1.080205811,2.72E-07,1.0814824,11.03302474,0.001663152,11.08467667,29.99244922,0.080009326,31.331259,36.12302686,0.11612794,37.240925,32.67776155,0.071184253,33.94779903,0.14266288,0.857777244,0.28167265,0.736104083,32.66522437,33.62105063,3.129177093,-0.731327024
b1c35,702,0.016966658,9.17E-09,0.017091474,1.074584014,1.97E-07,1.0757775,1.074644063,2.09E-07,1.0758256,11.03496421,0.001697924,11.08488667,29.81691368,0.091696905,31.275234,34.91010046,0.112865171,36.075569,32.10924118,0.080344562,33.46433496,0.139314025,0.853867233,0.284216072,0.740863372,32.09824891,32.88458873,3.125741784,-0.730744173
b1c36,703,0.016440868,7.74E-09,0.016568841,1.081149012,3.30E-07,1.0820798,1.081370278,3.25E-07,1.0823593,11.55654005,0.001654094,11.60819833,30.27587756,0.046027223,31.261051,34.00080305,0.065035711,34.868446,32.0563759,0.039678871,33.00072076,0.126711772,0.862335014,0.28405864,0.747442038,32.04713183,32.43816626,3.12762186,-0.736398688
b1c37,647,0.016547135,7.28E-09,0.016675115,1.07799386,4.47E-07,1.0791014,1.078120378,4.30E-07,1.0792918,11.56105701,0.001729895,11.61139333,30.24568498,0.05663141,31.339832,36.09006063,0.101912462,36.993626,32.97058051,0.050746079,34.02324405,0.127208399,0.860495391,0.284035739,0.745805188,32.95963094,33.73225875,3.127462645,-0.735953563
b1c38,616,0.016215573,7.14E-09,0.016367279,1.075961259,3.69E-07,1.0766544,1.075888166,2.82E-07,1.0765978,10.23222603,0.001773035,10.29222167,30.44139843,0.022341367,31.17009,37.35178608,0.154214354,37.995705,33.70838532,0.026646081,34.39844221,0.142681175,0.863285109,0.288241288,0.737262866,33.69580879,34.5498182,3.121503349,-0.756058036
b1c39,624,0.016694395,8.20E-09,0.01683517,1.085778202,2.31E-07,1.0864605,1.085784402,2.13E-07,1.0864667,10.24095256,0.001697436,10.27570833,30.33658289,0.021282946,31.06222,37.45464274,0.143968606,38.024876,33.51837721,0.025118346,34.22253942,0.136394261,0.868988643,0.289567074,0.748407788,33.50777536,34.67042911,3.125379044,-0.768018609
b1c40,965,0.016680402,5.64E-09,0.016823037,1.087203565,3.46E-07,1.0879861,1.087035116,3.23E-07,1.0878062,12.0882702,0.001698314,12.13842333,30.26912608,0.029389682,31.069859,37.79523442,0.065530872,38.388569,33.46699415,0.020659804,34.14739648,0.204030056,0.851428136,0.282351742,0.752204885,33.45966482,34.92498875,3.132663186,-0.772165013
b1c41,1050,0.016744488,4.44E-09,0.016868001,1.083068523,1.52E-07,1.0838759,1.083014552,1.46E-07,1.0838689,12.091807,0.001736815,12.13867,30.23430705,0.035299413,31.119465,36.85310638,0.05011411,37.576675,33.07975774,0.02460024,33.84132145,0.215362887,0.848354775,0.279792747,0.748655524,33.07365152,34.31424661,3.133995077,-0.765774625
b1c42,701,0.01671875,8.83E-09,0.016901791,1.084076931,1.11E-07,1.0849142,1.084021751,1.06E-07,1.084832,11.17802357,0.001757455,11.22593167,30.34802504,0.039759366,31.282066,37.72481588,0.145104737,38.397423,33.59841782,0.037007801,34.46317241,0.220635411,0.85903587,0.284333093,0.746283013,33.58543302,34.8520224,3.130591254,-0.765737488
b1c43,650,0.016110037,7.81E-09,0.016246699,1.070401144,8.17E-07,1.0716017,1.070536933,7.74E-07,1.071671,11.17861359,0.001759856,11.221605,30.2513779,0.048871832,31.325819,36.85097165,0.109077924,37.725166,33.34349275,0.043671189,34.31176358,0.214180548,0.851467123,0.282646004,0.736417639,33.33987153,34.25763295,3.127936781,-0.756727597
b1c44,615,0.017418254,1.17E-08,0.017589169,1.086786025,1.35E-06,1.0884221,1.086823201,1.29E-06,1.0883306,10.25764359,0.001729369,10.30488333,29.95676055,0.05808266,31.112934,35.83955709,0.165085841,36.804283,32.56778257,0.056638047,33.64220271,0.229255308,0.867508056,0.286931587,0.742513567,32.55402584,33.39341338,3.1291278,-0.763523221
b1c45,598,0.016679851,1.17E-08,0.016865226,1.086984582,4.97E-07,1.0881088,1.087237354,4.60E-07,1.0884383,10.25861782,0.001740694,10.30547,29.918866,0.078551703,31.221415,36.75081395,0.193878033,37.855122,33.01980626,0.071631592,34.13878991,0.221943401,0.868659806,0.285349109,0.741436793,33.00186433,33.90513382,3.13142528,-0.765157394
b2c0,326,0.016882046,7.22E-08,0.017640008,1.059650741,0.000102411,1.0730203,1.059725512,0.000111055,1.0733572,10.38592885,0.013014485,10.66856333,28.12587865,0.579628114,29.641514,32.2267994,0.328241905,33.972218,30.0734646,0.259307843,30.91745728,0.303623348,0.858556918,0.295539546,0.712721024,30.05678858,30.52565026,3.126930288,-0.711889284
b2c1,170,0.016812448,9.92E-08,0.017789628,1.025777785,0.000888699,1.0689027,1.024967055,0.000911529,1.0690311,10.76146104,0.063131655,11.36527333,29.14694218,0.379638326,30.363934,36.81945567,0.445703532,38.543324,32.44794625,0.253823099,33.46169042,0.501128928,0.826399545,0.267676536,0.680527588,32.42132472,33.63718166,3.163844823,-0.697651894
